Project,Focus,Grant,Cofinancing,Implementing Agencies,Countries,Source,Period,Status,IPLC,Scope
"<a href=""https://www.dgmglobal.org/ecuador"" target='_blank'>Untitled DGM</a>",,4500000,0,,Ecuador,DGM,,Pending,1,National
"<a href=""https://www.dgmglobal.org/guatemala"" target='_blank'>Untitled DGM</a>",,4500000,0,,Guaemala,DGM,,Pending,1,National
"<a href=""https://www.dgmglobal.org/mozambique"" target='_blank'>Dedicated Grant Mechanism for Local Communities</a>",,4500000,0,,Mozambique,DGM,,Ongoing,1,National
"<a href=""https://www.dgmglobal.org/nepal"" target='_blank'>Untitled DGM</a>",,4500000,0,,Nepal,DGM,,Pending,1,National
"<a href=""https://www.dgmglobal.org/republic-of-congo"" target='_blank'>Untitled DGM</a>",,4500000,0,,Republic of the Congo,DGM,,Pending,1,National
Untitled DGM,,4500000,0,,Laos,DGM,,Canceled,1,National
"<a href=""https://www.dgmglobal.org/peru"" target='_blank'>Saweto Dedicated Grant Mechanism for Indigenous Peoples and Local Communities</a>",,5500000,0,,Peru,DGM,,Ongoing,1,National
"<a href=""https://www.dgmglobal.org/drc"" target='_blank'>Forest Dependent Communities Support Project</a>",,6000000,0,,DR Congo,DGM,,Ongoing,1,National
"<a href=""https://www.dgmglobal.org/mexico"" target='_blank'>Dedicated Grant Mechanism for Indigenous Peoples and Local Communities</a>",,6000000,0,,Mexico,DGM,,Ongoing,1,National
"<a href=""https://www.dgmglobal.org/brazil"" target='_blank'>Dedicated Grant Mechanism for Indigenous Peoples, Local Communities, and Quilombolas of the Cerrado</a>",,6500000,0,,Brazil,DGM,,Ongoing,1,National
"<a href=""https://www.dgmglobal.org/indonesia"" target='_blank'>Strengthening Rights and Economies of Adat and Local Communities</a>",,6500000,0,,"Indonesia, West Papua",DGM,,Ongoing,1,National
"<a href=""https://www.greenclimate.fund/project/fp005"" target='_blank'>KawiSafi Ventures Fund</a>",,25000000,85000000,,Kenya Rwanda,GCF,2015-2021,,0,Transnational
"<a href=""https://www.greenclimate.fund/project/fp001"" target='_blank'>Building the Resilience of Wetlands in the Province of Datem del Marañón, Peru</a>",,6240000,2870000,,Peru,GCF,2015-2022,,0,National
"<a href=""https://www.greenclimate.fund/project/fp007"" target='_blank'>Supporting vulnerable communities in Maldives to manage climate change-induced water shortages</a>",,23640000,4593000,,Maldives,GCF,2015-2022,,1,National
"<a href=""https://www.greenclimate.fund/project/fp002"" target='_blank'>Scaling up the use of Modernized Climate information and Early Warning Systems in Malawi</a>",,12295000,3970000,,Malawi,GCF,2015-2023,,0,National
"<a href=""https://www.greenclimate.fund/project/fp003"" target='_blank'>Increasing the resilience of ecosystems and communities through the restoration of the productive bases of salinized lands</a>",,7610000,546000,,Senegal,GCF,2015-2024,,1,National
"<a href=""https://www.greenclimate.fund/project/fp004"" target='_blank'>Climate Resilient Infrastructure Mainstreaming (CRIM)</a>",,40000000,41001500,,Bangladesh,GCF,2015-2024,,0,National
"<a href=""https://www.greenclimate.fund/project/fp008"" target='_blank'>Fiji Urban Water Supply and Wastewater Management Project</a>",,31040000,374100000,,Fiji,GCF,2015-2025,,0,National
"<a href=""https://www.greenclimate.fund/project/fp023"" target='_blank'>Climate Resilient Agriculture in three of the Vulnerable Extreme northern crop growing regions (CRAVE)</a>",,9500000,500000,,Namibia,GCF,2016-2022,,0,National
"<a href=""https://www.greenclimate.fund/project/fp024"" target='_blank'>Enpower to Adapt: Creating Climate-Change Resilient Livelihoods through  Community-Based Natural Resource Management (CBNRM) in Namibia</a>",,10000000,0,,Namibia,GCF,2016-2022,,1,National
"<a href=""https://www.greenclimate.fund/project/fp028"" target='_blank'>MSME Business Loan Program for GHG Emission Reduction</a>",,20000000,40000000,,Mongolia,GCF,2016-2022,,0,National
"<a href=""https://www.greenclimate.fund/project/fp035"" target='_blank'>Climate Information Services for Resilient Development Planning in Vanuatu (Van-CIS-RDP)</a>",,22953000,3682000,,Vanuatu,GCF,2016-2022,,0,National
"<a href=""https://www.greenclimate.fund/project/fp013"" target='_blank'>Improving the resilience of vulnerable coastal communities to climate change related impacts in Viet Nam</a>",,29523000,11006625,,Vietnam,GCF,2016-2022,,1,National
"<a href=""https://www.greenclimate.fund/project/fp018"" target='_blank'>Scaling-up of Glacial Lake Outburst Flood (GLOF) risk reduction in Northern Pakistan</a>",,36960000,500000,,Pakistan,GCF,2016-2022,,0,National
"<a href=""https://www.greenclimate.fund/project/fp022"" target='_blank'>Development of arganiculture orchards in degraded environment (DARED)</a>",,39292600,9895400,,Morocco,GCF,2016-2022,,0,National
"<a href=""https://www.greenclimate.fund/project/fp019"" target='_blank'>Priming Financial and Land Use Planning Instruments to Reduce Emissions from Deforestations</a>",,41172739,42835908,,Ecuador,GCF,2016-2022,,0,National
"<a href=""https://www.greenclimate.fund/project/fp021"" target='_blank'>Senegal Integrated Urban Flood Management Project</a>",,16556291,61810153,,Senegal,GCF,2016-2023,,0,National
"<a href=""https://www.greenclimate.fund/project/fp010"" target='_blank'>De-Risking and Scaling-up Investment in Energy Efficient Building Retrofits</a>",,20000000,96070000,,Armenia,GCF,2016-2023,,0,National
"<a href=""https://www.greenclimate.fund/project/fp011"" target='_blank'>Large-scale Ecosystem-based Adaptation in The Gambia: developing a climate-resilient, natural resource-based economy</a>",,20546756,4974611,,Gambia,GCF,2016-2023,,0,National
"<a href=""https://www.greenclimate.fund/project/fp037"" target='_blank'>Integrated Flood Management to Enhance Climate Resilience of the Vaisigano River Catchment in Samoa</a>",,57718000,8000000,,Samoa,GCF,2016-2023,,0,National
"<a href=""https://www.greenclimate.fund/project/fp009"" target='_blank'>Energy Savings Insurance (ESI) for private energy efficiency investments by Small and Medium-Sized Enterprises (SMEs)</a>",,21700000,20000000,,El Salvador,GCF,2016-2024,,0,National
"<a href=""https://www.greenclimate.fund/project/fp012"" target='_blank'>Africa Hydromet Program – Strengthening Climate Resilience in Sub-Saharan Africa: Mali Country Project</a>",,22750000,8250000,,Mali,GCF,2016-2024,,0,National
"<a href=""https://www.greenclimate.fund/project/fp015"" target='_blank'>Tuvalu Coastal Adaptation Project (TCAP)</a>",,36010000,2860000,,Tuvalu,GCF,2016-2024,,0,National
"<a href=""https://www.greenclimate.fund/project/fp016"" target='_blank'>Strengthening the resilience of smallholder farmers in the Dry Zone to climate variability and extreme events through an integrated approach to water management</a>",,38084000,14000000,,Sri Lanka,GCF,2016-2024,,0,National
"<a href=""https://www.greenclimate.fund/project/fp036"" target='_blank'>Pacific Islands Renewable Energy Investment Program</a>",,17000000,12200000,,Cook Islands Tonga Nauru Samoa Marshall Islands Papua New Guinea Micronesia (Federated States of),GCF,2016-2025,,0,Transnational
"<a href=""https://www.greenclimate.fund/project/fp034"" target='_blank'>Building Resilient Communities, Wetland Ecosystems and Associated Catchments in Uganda</a>",,24140000,20122000,,Uganda,GCF,2016-2025,,1,National
"<a href=""https://www.greenclimate.fund/project/fp033"" target='_blank'>Accelerating the transformational shift to a low-carbon economy in the Republic of Mauritius</a>",,28210000,163180000,,Mauritius,GCF,2016-2025,,0,National
"<a href=""https://www.greenclimate.fund/project/fp020"" target='_blank'>Sustainable Energy Facility for the Eastern Caribbean</a>",,80000000,112442865,,Saint Kitts and Nevis Saint Lucia Saint Vincent and the Grenadines Dominica Grenada,GCF,2016-2027,,0,Transnational
"<a href=""https://www.greenclimate.fund/project/fp025"" target='_blank'>GCF-EBRD SEFF Co-financing Programme</a>",,378000000,1007000000,,Georgia Armenia Republic of Moldova Egypt Jordan Morocco Mongolia Tajikistan Tunisia Serbia,GCF,2016-2033,,0,Transnational
"<a href=""https://www.greenclimate.fund/project/fp039"" target='_blank'>GCF-EBRD Egypt Renewable Energy Financing Framework</a>",,154700000,852300000,,Egypt,GCF,2017-2022,,0,National
"<a href=""https://www.greenclimate.fund/project/fp042"" target='_blank'>Irrigation development and adaptation of irrigated agriculture to climate change in semi-arid Morocco</a>",,22075055,61810153,,Morocco,GCF,2017-2023,,0,National
"<a href=""https://www.greenclimate.fund/project/fp052"" target='_blank'>Sustainable and Climate Resilient Connectivity for Nauru</a>",,26910000,38290000,,Nauru,GCF,2017-2023,,0,National
"<a href=""https://www.greenclimate.fund/project/fp045"" target='_blank'>Ground Water Recharge and Solar Micro Irrigation to Ensure Food Security and Enhance Resilience in Vulnerable Tribal Areas of Odisha</a>",,34357000,131940000,,India,GCF,2017-2023,,0,National
"<a href=""https://www.greenclimate.fund/project/fp043"" target='_blank'>The Saïss Water Conservation Project</a>",,35286975,192825606,,Morocco,GCF,2017-2023,,0,National
"<a href=""https://www.greenclimate.fund/project/fp040"" target='_blank'>Tajikistan: Scaling Up Hydropower Sector Climate Resilience</a>",,50000000,78900000,,Tajikistan,GCF,2017-2023,,0,National
"<a href=""https://www.greenclimate.fund/project/fp047"" target='_blank'>GCF-EBRD Kazakhstan Renewables Framework</a>",,110000000,447000000,,Kazakhstan,GCF,2017-2023,,0,National
"<a href=""https://www.greenclimate.fund/project/fp049"" target='_blank'>Building the climate resilience of food insecure smallholder farmers through integrated management of climate risk (R4)</a>",,9983521,0,,Senegal,GCF,2017-2024,,0,National
"<a href=""https://www.greenclimate.fund/project/fp058"" target='_blank'>Responding to the increasing risk of drought: building gender-responsive resilience of the most vulnerable communities</a>",,45002759,4958095,,Ethiopia,GCF,2017-2024,,1,National
"<a href=""https://www.greenclimate.fund/project/fp044"" target='_blank'>Tina River Hydropower Development Project</a>",,86000000,155880000,,Solomon Islands,GCF,2017-2024,,0,National
"<a href=""https://www.greenclimate.fund/project/fp041"" target='_blank'>Simiyu Climate Resilient Project</a>",,113355408,75386313,,Tanzania,GCF,2017-2024,,0,National
"<a href=""https://www.greenclimate.fund/project/fp053"" target='_blank'>Enhancing climate change adaptation in the North coast and Nile Delta Regions in Egypt</a>",,31385000,73807000,,Egypt,GCF,2017-2025,,0,National
"<a href=""https://www.greenclimate.fund/project/fp051"" target='_blank'>Scaling-up Investment in Low-Carbon Public Buildings</a>",,17346000,105220000,,Bosnia and Herzegovina,GCF,2017-2026,,0,Transnational
"<a href=""https://www.greenclimate.fund/project/fp056"" target='_blank'>Scaling up climate resilient water management practices for vulnerable communities in La Mojana</a>",,38496000,78717258,,Colombia,GCF,2017-2026,,1,National
"<a href=""https://www.greenclimate.fund/project/fp046"" target='_blank'>Renewable Energy Program #1 - Solar</a>",,8650050,8906870,,Mongolia,GCF,2017-2029,,0,National
"<a href=""https://www.greenclimate.fund/project/fp050"" target='_blank'>Bhutan for life</a>",,26557354,91700000,,Bhutan,GCF,2017-2032,,0,National
"<a href=""https://www.greenclimate.fund/project/fp048"" target='_blank'>Low Emissions and Climate Resilient Agriculture Risk Sharing Facility</a>",,20000000,138000000,,Guatemala Mexico,GCF,2017-2034,,0,Transnational
"<a href=""https://www.greenclimate.fund/project/sap002"" target='_blank'>Climate services and diversification of climate sensitive livelihoods to empower food insecure and vulnerable communities in the Kyrgyz Republic.</a>",,8576108,1062117,,Kyrgyzstan,GCF,2018-2022,,1,National
"<a href=""https://www.greenclimate.fund/project/fp061"" target='_blank'>Integrated physical adaptation and community resilience through an enhanced direct access pilot in the public, private, and civil society sectors of three Eastern Caribbean small island developing states</a>",,20000000,2569360,,Antigua and Barbuda Dominica Grenada,GCF,2018-2023,,1,Transnational
"<a href=""https://www.greenclimate.fund/project/fp070"" target='_blank'>Global Clean Cooking Program – Bangladesh</a>",,20000000,20000000,,Bangladesh,GCF,2018-2023,,0,National
"<a href=""https://www.greenclimate.fund/project/fp090"" target='_blank'>Tonga Renewable Energy Project under the Pacific Islands Renewable Energy Investment Program</a>",,29900000,17700000,,Tonga,GCF,2018-2023,,0,National
"<a href=""https://www.greenclimate.fund/project/sap003"" target='_blank'>Enhancing climate resilience of the water sector in Bahrain</a>",,2320388,0,,Bahrain,GCF,2018-2024,,0,National
"<a href=""https://www.greenclimate.fund/project/fp075"" target='_blank'>Institutional Development of the State Agency for Hydrometeorology of Tajikistan</a>",,5000000,5000000,,Tajikistan,GCF,2018-2024,,0,National
"<a href=""https://www.greenclimate.fund/project/sap001"" target='_blank'>Improving rangeland and ecosystem management practices of smallholder farmers under conditions of climate change in Sesfontein, Fransfontein, and Warmquelle areas of the Republic of Namibia</a>",,9300000,700000,,Namibia,GCF,2018-2024,,0,National
"<a href=""https://www.greenclimate.fund/project/fp097"" target='_blank'>Productive Investment Initiative for Adaptation to Climate Change (CAMBio II)</a>",,15500000,12500000,,"Guatemala, El Salvador, Honduras, Nicaragua, Costa Rica, Panama, Dominican Republic",GCF,2018-2024,,0,Transnational
"<a href=""https://www.greenclimate.fund/project/fp096"" target='_blank'>DRC Green Mini-Grid Program</a>",,21000000,68000000,,DR Congo,GCF,2018-2024,,0,National
"<a href=""https://www.greenclimate.fund/project/fp063"" target='_blank'>Promoting private sector investments in energy efficiency in the industrial sector and in Paraguay</a>",,23000000,20000000,,Paraguay,GCF,2018-2024,,0,National
"<a href=""https://www.greenclimate.fund/project/fp069"" target='_blank'>Enhancing adaptive capacities of coastal communities, especially women, to cope with climate change induced salinity</a>",,24980000,8000000,,Bangladesh,GCF,2018-2024,,1,National
"<a href=""https://www.greenclimate.fund/project/fp066"" target='_blank'>Pacific Resilience Project Phase II for RMI</a>",,25000000,19131000,,Marshall Islands,GCF,2018-2024,,0,National
"<a href=""https://www.greenclimate.fund/project/fp060"" target='_blank'>Water Sector Resilience Nexus for Sustainability in Barbados (WSRN S-Barbados)</a>",,27605010,17600000,,Barbados,GCF,2018-2024,,0,National
"<a href=""https://www.greenclimate.fund/project/fp089"" target='_blank'>Upscaling climate resilience measures in the dry corridor agroecosystems of El Salvador (RECLIMA)</a>",,35849612,91838126,,El Salvador,GCF,2018-2024,,0,National
"<a href=""https://www.greenclimate.fund/project/fp085"" target='_blank'>Green BRT Karachi</a>",,49000000,534500000,,Pakistan,GCF,2018-2024,,0,National
"<a href=""https://www.greenclimate.fund/project/fp098"" target='_blank'>DBSA Climate Finance Facility</a>",,55610000,114940000,,South Africa Eswatini Namibia Lesotho,GCF,2018-2024,,0,Transnational
"<a href=""https://www.greenclimate.fund/project/fp081"" target='_blank'>Line of Credit for Solar rooftop segment for commercial, industrial and residential housing sectors</a>",,100000000,150000000,,India,GCF,2018-2024,,0,National
"<a href=""https://www.greenclimate.fund/project/fp064"" target='_blank'>Promoting risk mitigation instruments and finance for renewable energy and energy efficiency investments</a>",,103000000,60850000,,Argentina,GCF,2018-2024,,0,National
"<a href=""https://www.greenclimate.fund/project/fp074"" target='_blank'>Africa Hydromet Program – Strengthening Climate Resilience in Sub-Saharan Africa: Burkina Faso Country Project</a>",,22500000,2500000,,Burkina Faso,GCF,2018-2025,,0,National
"<a href=""https://www.greenclimate.fund/project/fp062"" target='_blank'>Poverty, Reforestation, Energy and Climate Change Project (PROEZA)</a>",,25060376,65197119,,Paraguay,GCF,2018-2025,,0,National
"<a href=""https://www.greenclimate.fund/project/fp093"" target='_blank'>Yeleen Rural Electrification Project in Burkina Faso</a>",,26821190,31788078,,Burkina Faso,GCF,2018-2025,,0,National
"<a href=""https://www.greenclimate.fund/project/fp068"" target='_blank'>Scaling-up Multi-Hazard Early Warning System and the Use of Climate Information in Georgia</a>",,27053598,43241000,,Georgia,GCF,2018-2025,,0,National
"<a href=""https://www.greenclimate.fund/project/fp091"" target='_blank'>South Tarawa Water Supply Project</a>",,28631020,29450000,,Kiribati,GCF,2018-2025,,0,National
"<a href=""https://www.greenclimate.fund/project/fp072"" target='_blank'>Strengthening climate resilience of agricultural livelihoods in Agro-Ecological Regions I and II in Zambia</a>",,32000000,105269000,,Zambia,GCF,2018-2025,,0,National
"<a href=""https://www.greenclimate.fund/project/fp073"" target='_blank'>Strengthening Climate Resilience of Rural Communities in Northern Rwanda</a>",,32794442,359990,,Rwanda,GCF,2018-2025,,1,National
"<a href=""https://www.greenclimate.fund/project/fp059"" target='_blank'>Climate Resilient Water Sector in Grenada (G-CREWS)-</a>",,38951539,7469034,,Grenada,GCF,2018-2025,,0,National
"<a href=""https://www.greenclimate.fund/project/fp076"" target='_blank'>Climate-Friendly Agribusiness Value Chains Sector Project</a>",,40000000,101040000,,Cambodia,GCF,2018-2025,,0,National
"<a href=""https://www.greenclimate.fund/project/fp084"" target='_blank'>Enhancing climate resilience of India’s coastal communities</a>",,43418606,86850000,,India,GCF,2018-2025,,1,National
"<a href=""https://www.greenclimate.fund/project/fp080"" target='_blank'>Zambia Renewable Energy Financing Framework</a>",,52500000,101500000,,Zambia,GCF,2018-2025,,0,National
"<a href=""https://www.greenclimate.fund/project/fp092"" target='_blank'>Programme for integrated development and adaptation to climate change in the Niger Basin (PIDACC/NB)</a>",,67774000,142128000,,Benin Burkina Faso Côte d'Ivoire Guinea Mali Niger Nigeria Cameroon Chad,GCF,2018-2025,,0,Transnational
"<a href=""https://www.greenclimate.fund/project/fp095"" target='_blank'>Transforming Financial Systems for Climate</a>",,264900661,455849889,,Morocco Benin Cameroon Côte d'Ivoire Egypt Kenya Mauritius Namibia Nigeria South Africa Tanzania Togo Uganda Ecuador Senegal Burkina Faso Madagascar,GCF,2018-2026,,0,Transnational
"<a href=""https://www.greenclimate.fund/project/fp087"" target='_blank'>Building livelihood resilience to climate change in the upper basins of Guatemala’s highlands</a>",,22035512,15619028,,Guatemala,GCF,2018-2027,,0,National
"<a href=""https://www.greenclimate.fund/project/fp094"" target='_blank'>Ensuring climate resilient water supplies in the Comoros Islands</a>",,41919808,18831687,,Comoros,GCF,2018-2027,,0,National
"<a href=""https://www.greenclimate.fund/project/fp077"" target='_blank'>Ulaanbaatar Green Affordable Housing and Resilient Urban Renewal Project (AHURP)</a>",,145000000,425114000,,Mongolia,GCF,2018-2027,,0,National
"<a href=""https://www.greenclimate.fund/project/sap004"" target='_blank'>Energy Efficient Consumption Loan Programme</a>",,10000000,11500000,,Mongolia,GCF,2018-2029,,0,National
"<a href=""https://www.greenclimate.fund/project/fp083"" target='_blank'>Indonesia Geothermal Resource Risk Mitigation Project</a>",,100000000,310000000,,"Indonesia, West Papua",GCF,2018-2030,,0,National
"<a href=""https://www.greenclimate.fund/project/fp078"" target='_blank'>Acumen Resilient Agriculture Fund (ARAF)</a>",,26000000,30000000,,Uganda Ghana Nigeria Kenya,GCF,2018-2031,,0,Transnational
"<a href=""https://www.greenclimate.fund/project/fp086"" target='_blank'>Green Cities Facility</a>",,96026489,189403972,,Georgia Jordan Republic of Moldova Armenia Tunisia Mongolia Serbia North Macedonia Albania,GCF,2018-2034,,0,Transnational
"<a href=""https://www.greenclimate.fund/project/fp099"" target='_blank'>Climate Investor One</a>",,100000000,721500000,,"Malawi, Nigeria, Uganda, Madagascar, Djibouti, Morocco, Kenya, Mongolia, Cameroon, Burundi, Indonesia, West Papua",GCF,2018-2039,,0,Transnational
"<a href=""https://www.greenclimate.fund/project/sap007"" target='_blank'>Integrated Climate Risk Management for Food Security and Livelihoods in Zimbabwe focusing on Masvingo and Rushinga Districts</a>",,8858316,1104447,,Zimbabwe,GCF,2019-2023,,0,National
"<a href=""https://www.greenclimate.fund/project/fp102"" target='_blank'>Mali solar rural electrification project</a>",,28662927,9143040,,Mali,GCF,2019-2023,,0,National
"<a href=""https://www.greenclimate.fund/project/sap006"" target='_blank'>Building resilience of communities living in landscapes threatened under climate change through an ecosystems-based adaptation approach</a>",,8904000,160000,,Namibia,GCF,2019-2024,,1,National
"<a href=""https://www.greenclimate.fund/project/sap005"" target='_blank'>Enhanced climate resilience of rural communities in central and north Benin through the implementation of ecosystem-based adaptation (EbA) in forest and agricultural landscapes</a>",,9000000,1000000,,Benin,GCF,2019-2024,,1,National
"<a href=""https://www.greenclimate.fund/project/sap008"" target='_blank'>Extended Community Climate Change Project-Flood (ECCCP-Flood)</a>",,9681340,3644400,,Bangladesh,GCF,2019-2024,,1,National
"<a href=""https://www.greenclimate.fund/project/fp117"" target='_blank'>Implementation of the Lao PDR Emission Reductions Programme through improved governance and sustainable forest landscape management</a>",,16733549,54779797,,Laos,GCF,2019-2024,,1,National
"<a href=""https://www.greenclimate.fund/project/fp113"" target='_blank'>TWENDE: Towards Ending Drought Emergencies: Ecosystem Based Adaptation in Kenya’s Arid and Semi-Arid Rangelands</a>",,23152082,11390900,,Kenya,GCF,2019-2024,,0,National
"<a href=""https://www.greenclimate.fund/project/fp119"" target='_blank'>Water Banking and Adaptation of Agriculture to Climate Change in Northern Gaza</a>",,26169737,23178807,,State of Palestine,GCF,2019-2024,,0,National
"<a href=""https://www.greenclimate.fund/project/fp111"" target='_blank'>Promoting climate-resilient forest restoration and silviculture for the sustainability of water-related ecosystem services</a>",,35000000,44000000,,Honduras,GCF,2019-2024,,0,National
"<a href=""https://www.greenclimate.fund/project/fp103"" target='_blank'>Promotion of Climate-Friendly Cooking: Kenya and Senegal</a>",,18221854,7937803,,Kenya Senegal,GCF,2019-2025,,0,Transnational
"<a href=""https://www.greenclimate.fund/project/fp107"" target='_blank'>Supporting Climate Resilience and Transformational Change in the Agriculture Sector in Bhutan</a>",,25347194,32668000,,Bhutan,GCF,2019-2025,,0,National
"<a href=""https://www.greenclimate.fund/project/fp115"" target='_blank'>Espejo de Tarapacá</a>",,60000000,1034000000,,Chile,GCF,2019-2025,,0,National
"<a href=""https://www.greenclimate.fund/project/fp101"" target='_blank'>Resilient Rural Belize (Be-Resilient)</a>",,8000000,12002898,,Belize,GCF,2019-2026,,0,National
"<a href=""https://www.greenclimate.fund/project/fp110"" target='_blank'>Ecuador REDD-plus RBP for results period 2014</a>",,18571766,0,,Ecuador,GCF,2019-2026,,0,National
"<a href=""https://www.greenclimate.fund/project/fp109"" target='_blank'>Safeguarding rural communities and their physical and economic assets from climate  induced disasters in Timor-Leste</a>",,22356805,37087062,,East Timor,GCF,2019-2026,,1,National
"<a href=""https://www.greenclimate.fund/project/fp116"" target='_blank'>Carbon Sequestration through Climate Investment in Forests and Rangelands in Kyrgyz Republic (CS-FOR)</a>",,29988520,20001480,,Kyrgyzstan,GCF,2019-2026,,0,National
"<a href=""https://www.greenclimate.fund/project/fp108"" target='_blank'>Transforming the Indus Basin with Climate Resilient Agriculture and Water Management</a>",,34990832,12699931,,Pakistan,GCF,2019-2026,,0,National
"<a href=""https://www.greenclimate.fund/project/fp100"" target='_blank'>REDD-PLUS results-based payments for results achieved by Brazil in the Amazon biome in 2014 and 2015</a>",,96452228,0,,Brazil,GCF,2019-2026,,0,National
"<a href=""https://www.greenclimate.fund/project/fp112"" target='_blank'>Addressing Climate Vulnerability in the Water Sector (ACWA) in the Marshall Islands</a>",,18631216,6116092,,Marshall Islands,GCF,2019-2027,,0,National
"<a href=""https://www.greenclimate.fund/project/fp118"" target='_blank'>Building a Resilient Churia Region in Nepal (BRCRN)</a>",,39299905,8042248,,Nepal,GCF,2019-2027,,0,National
"<a href=""https://www.greenclimate.fund/project/fp105"" target='_blank'>BOAD Climate Finance Facility to Scale Up Solar Energy Investments in Francophone West Africa LDCs</a>",,67328918,67328917,,Benin Burkina Faso Guinea-Bissau Mali Niger Togo,GCF,2019-2027,,0,Transnational
"<a href=""https://www.greenclimate.fund/project/fp082"" target='_blank'>Catalyzing Climate Finance (Shandong Green Development Fund)</a>",,100000000,1309156731,,China,GCF,2019-2039,,0,National
"<a href=""https://www.greenclimate.fund/project/fp106"" target='_blank'>Embedded Generation Investment Programme (EGIP)</a>",,100000000,437000000,,South Africa,GCF,2019-2043,,0,National
"<a href=""https://www.greenclimate.fund/project/sap013"" target='_blank'>Scaling Smart, Solar, Energy Access Microgrids in Haiti</a>",,9900000,35848000,,Haiti,GCF,2020-2020,,0,National
"<a href=""https://www.greenclimate.fund/project/fp125"" target='_blank'>Strengthening the resilience of smallholder agriculture to climate change-induced water insecurity in the Central Highlands and South-Central Coast regions of Vietnam</a>",,30205367,126087475,,Vietnam,GCF,2020-2020,,0,National
"<a href=""https://www.greenclimate.fund/project/fp126"" target='_blank'>Increased climate resilience of rural households and communities through the rehabilitation of production landscapes in selected localities of the Republic of Cuba (IRES)</a>",,38206791,81707393,,Cuba,GCF,2020-2020,,1,National
"<a href=""https://www.greenclimate.fund/project/fp127"" target='_blank'>Building Climate Resilience of Vulnerable Agricultural Livelihoods in Southern Zimbabwe</a>",,26574567,21243820,,Zimbabwe,GCF,2020-2024,,0,National
"<a href=""https://www.greenclimate.fund/project/fp124"" target='_blank'>Strengthening Climate Resilience of Subsistence Farmers and Agricultural Plantation Communities residing in the vulnerable river basins, watershed areas and downstream of the Knuckles Mountain Range Catchment of Sri Lanka</a>",,39775000,9200000,,Sri Lanka,GCF,2020-2026,,1,National
"<a href=""https://www.greenclimate.fund/project/fp128"" target='_blank'>Arbaro Fund – Sustainable Forestry Fund</a>",,25000000,175000000,,Paraguay Ghana Sierra Leone Uganda Ecuador Peru Ethiopia,GCF,2020-2032,,0,Transnational
"<a href=""https://www.thegef.org/project/mexico-s-third-biennial-update-report-bur3"" target='_blank'>Mexico´s Third Biennial Update Report (BUR3)</a>",Climate Change,352000,352000,United Nations Development Programme,Mexico,GEF Trust Fund,2018 - 2022,Project Approved,0,National
"<a href=""https://www.thegef.org/project/development-fourth-national-communication-and-second-biennial-update-report-under-unfccc"" target='_blank'>Development of Fourth National Communication and Second Biennial Update Report under the UNFCCC</a>",Climate Change,852000,93000,United Nations Development Programme,Panama,GEF Trust Fund,2018 - 2022,Project Approved,0,National
"<a href=""https://www.thegef.org/project/enabling-preparation-nicaragua-s-fourth-national-communication-and-first-biennial-update"" target='_blank'>Enabling Preparation of Nicaragua’s Fourth National Communication and First Biennial Update Report to UNFCCC </a>",Climate Change,852000,443400,Food and Agriculture Organization,Nicaragua,GEF Trust Fund,2018 - 2022,Project Approved,0,National
"<a href=""https://www.thegef.org/project/fourth-national-communication-4nc-and-second-biennial-update-report-2bur"" target='_blank'>Fourth National Communication (4NC) and Second Biennial Update Report (2BUR)</a>",Climate Change,852000,83684,United Nations Development Programme,Ecuador,GEF Trust Fund,2018 - 2022,Project Approved,0,National
"<a href=""https://www.thegef.org/project/fourth-national-communication-and-third-biennial-update-report-climate-change-malaysia"" target='_blank'>Fourth National Communication and Third Biennial Update Report on Climate Change for Malaysia</a>",Climate Change,852000,200000,United Nations Development Programme,"Island Malaysia, Peninsular Malaysia",GEF Trust Fund,2018 - 2022,Project Approved,0,National
"<a href=""https://www.thegef.org/project/fourth-national-communication-and-third-biennial-update-report-climate-change-under-unfccc-0"" target='_blank'>Fourth National Communication and Third Biennial Update Report on Climate Change under UNFCCC</a>",Climate Change,852000,250000,United Nations Development Programme,Paraguay,GEF Trust Fund,2018 - 2022,Project Approved,0,National
"<a href=""https://www.thegef.org/project/thailand-s-fourth-national-communication-and-third-biennial-update-report-nc4-bur3-unfccc"" target='_blank'>Thailand’s Fourth National Communication and Third Biennial Update Report (NC4-BUR3) to the UNFCCC</a>",Climate Change,852000,700000,United Nations Development Programme,Thailand,GEF Trust Fund,2018 - 2022,Project Approved,0,National
"<a href=""https://www.thegef.org/project/third-national-communication-and-first-biennial-update-report-1"" target='_blank'>Third National Communication and First Biennial Update Report</a>",Climate Change,852000,150000,United Nations Development Programme,Samoa,GEF Trust Fund,2018 - 2022,Project Approved,0,National
"<a href=""https://www.thegef.org/project/enhancing-equatorial-guinea-s-institutional-and-technical-capacity-agriculture-forestry-and"" target='_blank'>Enhancing Equatorial Guinea’s institutional and technical capacity in the agriculture, forestry and other land-use sector for enhanced transparency under the Paris Agreement </a>",Climate Change,863242,536896,Food and Agriculture Organization,Equatorial Guinea,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
