Project,Focus,Grant,Cofinancing,Implementing Agencies,Countries,Source,Period,Status,IPLC,Scope
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3604.01"" target='_blank'>Improvement of the Environmental Impact Assessment process and consolidation of SENACE to mitigate negative impacts of infrastructure projects in Peru</a>",Environmental Conservation,1430000,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1764"" target='_blank'>Education for Nature: Building Capacity for Protected Area Management in the Andes-Amazon Region</a>",Environmental Conservation,1461357,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF2544"" target='_blank'>Forest Families II: Co-managing Community Forests</a>",Environmental Conservation,1472550,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,1,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8670"" target='_blank'>
Indigenous Territorial Protection to Advance Consolidation and Conservation</a>",Environmental Conservation,1500000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,1,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3004"" target='_blank'>Building a strategic impact assessment information baseline and policy framework for Loreto, Peru</a>",Environmental Conservation,1500000,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3275"" target='_blank'>Ensuring the Durability of Territorial Environmental Management on Indigenous Lands in Brazil</a>",Environmental Conservation,1500000,0,,Brazil,Moore Foundation,,,1,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF5349"" target='_blank'>Monitoring Protected Areas in Peru to Increase Forest Resilience to Change</a>",Environmental Conservation,1500000,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF646.02"" target='_blank'>Consolidation of Amazonas State Protected Area System</a>",Environmental Conservation,1508062,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1956"" target='_blank'>Containing Deforestation in the Southwestern Brazilian Amazon</a>",Environmental Conservation,1509840,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1390"" target='_blank'>Frontier Conservation Planning</a>",Environmental Conservation,1518850,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF7715"" target='_blank'>Pan-Amazon Community of Practice to Improve Transparency and Accountability of Infrastructure Planning</a>",Environmental Conservation,1520250,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,1,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3128"" target='_blank'>Consolidating regional protected areas systems in the Peruvian Amazon to contribute to local conservation governance, land-use planning, and conservation regulatory frameworks</a>",Environmental Conservation,1521858,0,,Peru,Moore Foundation,,,1,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1727.01"" target='_blank'>Amazon Headwaters Initiative (Phase III)</a>",Environmental Conservation,1523939,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF633"" target='_blank'>Indigenous Land Protection in Suriname and Brasil</a>",Environmental Conservation,1538000,0,,Suriname,Moore Foundation,,,1,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8686"" target='_blank'>
Establishing Accountability in Infrastructure Investments in the Peruvian Amazon</a>",Environmental Conservation,1555700,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3897.01"" target='_blank'>Sustainable Finance Mechanism for Colombia's National Parks</a>",Environmental Conservation,1556000,0,,Colombia,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF688"" target='_blank'>Condor-Kutuku Corridor Conservation</a>",Environmental Conservation,1570000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF5346"" target='_blank'>Integrated Management of the Upper Rio Negro Basin</a>",Environmental Conservation,1580000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF467.01"" target='_blank'>Sustaining Biodiversity in Key Protected Areas in the Andes</a>",Environmental Conservation,1589046,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1968"" target='_blank'>Enabling satellite-based forest monitoring in the Andes Amazon region</a>",Environmental Conservation,1590718,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
